|dates|Hendricks_Indiana_UnitedStates.JHU_ConfirmedCases.data|Hendricks_Indiana_UnitedStates.JHU_ConfirmedCases.missing|Hendricks_Indiana_UnitedStates.JHU_ConfirmedDeaths.data|Hendricks_Indiana_UnitedStates.JHU_ConfirmedDeaths.missing|Hendricks_Indiana_UnitedStates.JHU_ConfirmedRecoveries.data|Hendricks_Indiana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-24|1117.0|0|65.0|0|0.0|0
0|2020-05-25|1123.0|0|67.0|0|0.0|0
0|2020-05-26|1123.0|0|67.0|0|0.0|0
