|dates|Hanover_Virginia_UnitedStates.JHU_ConfirmedCases.data|Hanover_Virginia_UnitedStates.JHU_ConfirmedCases.missing|Hanover_Virginia_UnitedStates.JHU_ConfirmedDeaths.data|Hanover_Virginia_UnitedStates.JHU_ConfirmedDeaths.missing|Hanover_Virginia_UnitedStates.JHU_ConfirmedRecoveries.data|Hanover_Virginia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-24|252.0|0|19.0|0|0.0|0
0|2020-05-25|275.0|0|19.0|0|0.0|0
0|2020-05-26|275.0|0|19.0|0|0.0|0
