|dates|Jefferson_Arkansas_UnitedStates.JHU_ConfirmedCases.data|Jefferson_Arkansas_UnitedStates.JHU_ConfirmedCases.missing|Jefferson_Arkansas_UnitedStates.JHU_ConfirmedDeaths.data|Jefferson_Arkansas_UnitedStates.JHU_ConfirmedDeaths.missing|Jefferson_Arkansas_UnitedStates.JHU_ConfirmedRecoveries.data|Jefferson_Arkansas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-27|510.0|0|23.0|0|0.0|0
0|2020-05-28|510.0|0|23.0|0|0.0|0
0|2020-05-29|510.0|0|23.0|0|0.0|0
0|2020-05-30|510.0|0|23.0|0|0.0|0
