|dates|Henry_Iowa_UnitedStates.JHU_ConfirmedCases.data|Henry_Iowa_UnitedStates.JHU_ConfirmedCases.missing|Henry_Iowa_UnitedStates.JHU_ConfirmedDeaths.data|Henry_Iowa_UnitedStates.JHU_ConfirmedDeaths.missing|Henry_Iowa_UnitedStates.JHU_ConfirmedRecoveries.data|Henry_Iowa_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-24|61.0|0|1.0|0|0.0|0
0|2020-05-25|61.0|0|1.0|0|0.0|0
0|2020-05-26|61.0|0|1.0|0|0.0|0
