|dates|Burlington_NewJersey_UnitedStates.JHU_ConfirmedCases.data|Burlington_NewJersey_UnitedStates.JHU_ConfirmedCases.missing|Burlington_NewJersey_UnitedStates.JHU_ConfirmedDeaths.data|Burlington_NewJersey_UnitedStates.JHU_ConfirmedDeaths.missing|Burlington_NewJersey_UnitedStates.JHU_ConfirmedRecoveries.data|Burlington_NewJersey_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|3937.0|0|239.0|0|0.0|0
0|2020-05-18|3986.0|0|245.0|0|0.0|0
0|2020-05-19|4000.0|0|247.0|0|0.0|0
0|2020-05-20|4058.0|0|249.0|0|0.0|0
0|2020-05-21|4097.0|0|249.0|0|0.0|0
0|2020-05-22|4217.0|0|261.0|0|0.0|0
0|2020-05-23|4217.0|0|261.0|0|0.0|0
