|dates|St.Landry_Louisiana_UnitedStates.JHU_ConfirmedCases.data|St.Landry_Louisiana_UnitedStates.JHU_ConfirmedCases.missing|St.Landry_Louisiana_UnitedStates.JHU_ConfirmedDeaths.data|St.Landry_Louisiana_UnitedStates.JHU_ConfirmedDeaths.missing|St.Landry_Louisiana_UnitedStates.JHU_ConfirmedRecoveries.data|St.Landry_Louisiana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-27|252.0|0|53.0|0|0.0|0
0|2020-05-28|252.0|0|53.0|0|0.0|0
0|2020-05-29|252.0|0|53.0|0|0.0|0
0|2020-05-30|252.0|0|53.0|0|0.0|0
