|dates|Geneva_Alabama_UnitedStates.JHU_ConfirmedCases.data|Geneva_Alabama_UnitedStates.JHU_ConfirmedCases.missing|Geneva_Alabama_UnitedStates.JHU_ConfirmedDeaths.data|Geneva_Alabama_UnitedStates.JHU_ConfirmedDeaths.missing|Geneva_Alabama_UnitedStates.JHU_ConfirmedRecoveries.data|Geneva_Alabama_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|20.0|0|0.0|0|0.0|0
0|2020-05-18|22.0|0|0.0|0|0.0|0
0|2020-05-19|23.0|0|0.0|0|0.0|0
0|2020-05-20|26.0|0|0.0|0|0.0|0
0|2020-05-21|27.0|0|0.0|0|0.0|0
0|2020-05-22|28.0|0|0.0|0|0.0|0
0|2020-05-23|28.0|0|0.0|0|0.0|0
