|dates|Summit_Ohio_UnitedStates.JHU_ConfirmedCases.data|Summit_Ohio_UnitedStates.JHU_ConfirmedCases.missing|Summit_Ohio_UnitedStates.JHU_ConfirmedDeaths.data|Summit_Ohio_UnitedStates.JHU_ConfirmedDeaths.missing|Summit_Ohio_UnitedStates.JHU_ConfirmedRecoveries.data|Summit_Ohio_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|1004.0|0|110.0|0|0.0|0
0|2020-05-18|1028.0|0|112.0|0|0.0|0
0|2020-05-19|1042.0|0|113.0|0|0.0|0
0|2020-05-20|1077.0|0|131.0|0|0.0|0
0|2020-05-21|1141.0|0|139.0|0|0.0|0
0|2020-05-22|1183.0|0|148.0|0|0.0|0
0|2020-05-23|1183.0|0|148.0|0|0.0|0
