|dates|Haywood_Tennessee_UnitedStates.JHU_ConfirmedCases.data|Haywood_Tennessee_UnitedStates.JHU_ConfirmedCases.missing|Haywood_Tennessee_UnitedStates.JHU_ConfirmedDeaths.data|Haywood_Tennessee_UnitedStates.JHU_ConfirmedDeaths.missing|Haywood_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.data|Haywood_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-27|30.0|0|2.0|0|0.0|0
0|2020-05-28|30.0|0|2.0|0|0.0|0
0|2020-05-29|30.0|0|2.0|0|0.0|0
0|2020-05-30|30.0|0|2.0|0|0.0|0
