|dates|Jackson_Iowa_UnitedStates.JHU_ConfirmedCases.data|Jackson_Iowa_UnitedStates.JHU_ConfirmedCases.missing|Jackson_Iowa_UnitedStates.JHU_ConfirmedDeaths.data|Jackson_Iowa_UnitedStates.JHU_ConfirmedDeaths.missing|Jackson_Iowa_UnitedStates.JHU_ConfirmedRecoveries.data|Jackson_Iowa_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-14|7.0|0|0.0|0|0.0|0
0|2020-05-15|8.0|0|0.0|0|0.0|0
0|2020-05-16|8.0|0|0.0|0|0.0|0
