|dates|Dubuque_Iowa_UnitedStates.JHU_ConfirmedCases.data|Dubuque_Iowa_UnitedStates.JHU_ConfirmedCases.missing|Dubuque_Iowa_UnitedStates.JHU_ConfirmedDeaths.data|Dubuque_Iowa_UnitedStates.JHU_ConfirmedDeaths.missing|Dubuque_Iowa_UnitedStates.JHU_ConfirmedRecoveries.data|Dubuque_Iowa_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|264.0|0|10.0|0|0.0|0
0|2020-05-18|276.0|0|10.0|0|0.0|0
0|2020-05-19|286.0|0|10.0|0|0.0|0
0|2020-05-20|296.0|0|13.0|0|0.0|0
0|2020-05-21|300.0|0|13.0|0|0.0|0
0|2020-05-22|307.0|0|16.0|0|0.0|0
0|2020-05-23|307.0|0|16.0|0|0.0|0
