|dates|Campbell_Virginia_UnitedStates.JHU_ConfirmedCases.data|Campbell_Virginia_UnitedStates.JHU_ConfirmedCases.missing|Campbell_Virginia_UnitedStates.JHU_ConfirmedDeaths.data|Campbell_Virginia_UnitedStates.JHU_ConfirmedDeaths.missing|Campbell_Virginia_UnitedStates.JHU_ConfirmedRecoveries.data|Campbell_Virginia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-27|16.0|0|1.0|0|0.0|0
0|2020-05-28|16.0|0|1.0|0|0.0|0
0|2020-05-29|16.0|0|1.0|0|0.0|0
0|2020-05-30|16.0|0|1.0|0|0.0|0
