|dates|Wise_Virginia_UnitedStates.JHU_ConfirmedCases.data|Wise_Virginia_UnitedStates.JHU_ConfirmedCases.missing|Wise_Virginia_UnitedStates.JHU_ConfirmedDeaths.data|Wise_Virginia_UnitedStates.JHU_ConfirmedDeaths.missing|Wise_Virginia_UnitedStates.JHU_ConfirmedRecoveries.data|Wise_Virginia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|23.0|0|2.0|0|0.0|0
0|2020-05-18|23.0|0|2.0|0|0.0|0
0|2020-05-19|23.0|0|2.0|0|0.0|0
0|2020-05-20|23.0|0|2.0|0|0.0|0
0|2020-05-21|24.0|0|2.0|0|0.0|0
0|2020-05-22|24.0|0|2.0|0|0.0|0
0|2020-05-23|24.0|0|2.0|0|0.0|0
