|dates|KingGeorge_Virginia_UnitedStates.JHU_ConfirmedCases.data|KingGeorge_Virginia_UnitedStates.JHU_ConfirmedCases.missing|KingGeorge_Virginia_UnitedStates.JHU_ConfirmedDeaths.data|KingGeorge_Virginia_UnitedStates.JHU_ConfirmedDeaths.missing|KingGeorge_Virginia_UnitedStates.JHU_ConfirmedRecoveries.data|KingGeorge_Virginia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-24|54.0|0|4.0|0|0.0|0
0|2020-05-25|56.0|0|4.0|0|0.0|0
0|2020-05-26|56.0|0|4.0|0|0.0|0
