|dates|Kanabec_Minnesota_UnitedStates.JHU_ConfirmedCases.data|Kanabec_Minnesota_UnitedStates.JHU_ConfirmedCases.missing|Kanabec_Minnesota_UnitedStates.JHU_ConfirmedDeaths.data|Kanabec_Minnesota_UnitedStates.JHU_ConfirmedDeaths.missing|Kanabec_Minnesota_UnitedStates.JHU_ConfirmedRecoveries.data|Kanabec_Minnesota_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-24|11.0|0|1.0|0|0.0|0
0|2020-05-25|11.0|0|1.0|0|0.0|0
0|2020-05-26|11.0|0|1.0|0|0.0|0
