|dates|Winnebago_Wisconsin_UnitedStates.JHU_ConfirmedCases.data|Winnebago_Wisconsin_UnitedStates.JHU_ConfirmedCases.missing|Winnebago_Wisconsin_UnitedStates.JHU_ConfirmedDeaths.data|Winnebago_Wisconsin_UnitedStates.JHU_ConfirmedDeaths.missing|Winnebago_Wisconsin_UnitedStates.JHU_ConfirmedRecoveries.data|Winnebago_Wisconsin_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|123.0|0|1.0|0|0.0|0
0|2020-05-18|124.0|0|1.0|0|0.0|0
0|2020-05-19|126.0|0|1.0|0|0.0|0
0|2020-05-20|134.0|0|1.0|0|0.0|0
0|2020-05-21|141.0|0|1.0|0|0.0|0
0|2020-05-22|160.0|0|1.0|0|0.0|0
0|2020-05-23|160.0|0|1.0|0|0.0|0
