|dates|Salem_NewJersey_UnitedStates.JHU_ConfirmedCases.data|Salem_NewJersey_UnitedStates.JHU_ConfirmedCases.missing|Salem_NewJersey_UnitedStates.JHU_ConfirmedDeaths.data|Salem_NewJersey_UnitedStates.JHU_ConfirmedDeaths.missing|Salem_NewJersey_UnitedStates.JHU_ConfirmedRecoveries.data|Salem_NewJersey_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|459.0|0|19.0|0|0.0|0
0|2020-05-18|465.0|0|20.0|0|0.0|0
0|2020-05-19|470.0|0|21.0|0|0.0|0
0|2020-05-20|481.0|0|23.0|0|0.0|0
0|2020-05-21|484.0|0|24.0|0|0.0|0
0|2020-05-22|523.0|0|26.0|0|0.0|0
0|2020-05-23|523.0|0|26.0|0|0.0|0
