|dates|Hawkins_Tennessee_UnitedStates.JHU_ConfirmedCases.data|Hawkins_Tennessee_UnitedStates.JHU_ConfirmedCases.missing|Hawkins_Tennessee_UnitedStates.JHU_ConfirmedDeaths.data|Hawkins_Tennessee_UnitedStates.JHU_ConfirmedDeaths.missing|Hawkins_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.data|Hawkins_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|31.0|0|2.0|0|0.0|0
0|2020-05-18|31.0|0|2.0|0|0.0|0
0|2020-05-19|31.0|0|2.0|0|0.0|0
0|2020-05-20|31.0|0|2.0|0|0.0|0
0|2020-05-21|31.0|0|2.0|0|0.0|0
0|2020-05-22|31.0|0|2.0|0|0.0|0
0|2020-05-23|31.0|0|2.0|0|0.0|0
