|dates|Tulsa_Oklahoma_UnitedStates.JHU_ConfirmedCases.data|Tulsa_Oklahoma_UnitedStates.JHU_ConfirmedCases.missing|Tulsa_Oklahoma_UnitedStates.JHU_ConfirmedDeaths.data|Tulsa_Oklahoma_UnitedStates.JHU_ConfirmedDeaths.missing|Tulsa_Oklahoma_UnitedStates.JHU_ConfirmedRecoveries.data|Tulsa_Oklahoma_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|781.0|0|37.0|0|0.0|0
0|2020-05-18|787.0|0|37.0|0|0.0|0
0|2020-05-19|802.0|0|37.0|0|0.0|0
0|2020-05-20|814.0|0|39.0|0|0.0|0
0|2020-05-21|852.0|0|40.0|0|0.0|0
0|2020-05-22|890.0|0|41.0|0|0.0|0
0|2020-05-23|890.0|0|41.0|0|0.0|0
