|dates|Franklin_Pennsylvania_UnitedStates.JHU_ConfirmedCases.data|Franklin_Pennsylvania_UnitedStates.JHU_ConfirmedCases.missing|Franklin_Pennsylvania_UnitedStates.JHU_ConfirmedDeaths.data|Franklin_Pennsylvania_UnitedStates.JHU_ConfirmedDeaths.missing|Franklin_Pennsylvania_UnitedStates.JHU_ConfirmedRecoveries.data|Franklin_Pennsylvania_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|621.0|0|13.0|0|0.0|0
0|2020-05-18|631.0|0|25.0|0|0.0|0
0|2020-05-19|644.0|0|27.0|0|0.0|0
0|2020-05-20|662.0|0|27.0|0|0.0|0
0|2020-05-21|677.0|0|28.0|0|0.0|0
0|2020-05-22|697.0|0|28.0|0|0.0|0
0|2020-05-23|697.0|0|28.0|0|0.0|0
