|dates|Churchill_Nevada_UnitedStates.JHU_ConfirmedCases.data|Churchill_Nevada_UnitedStates.JHU_ConfirmedCases.missing|Churchill_Nevada_UnitedStates.JHU_ConfirmedDeaths.data|Churchill_Nevada_UnitedStates.JHU_ConfirmedDeaths.missing|Churchill_Nevada_UnitedStates.JHU_ConfirmedRecoveries.data|Churchill_Nevada_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-24|6.0|0|0.0|0|0.0|0
0|2020-05-25|6.0|0|1.0|0|0.0|0
0|2020-05-26|6.0|0|1.0|0|0.0|0
