|dates|Allegan_Michigan_UnitedStates.JHU_ConfirmedCases.data|Allegan_Michigan_UnitedStates.JHU_ConfirmedCases.missing|Allegan_Michigan_UnitedStates.JHU_ConfirmedDeaths.data|Allegan_Michigan_UnitedStates.JHU_ConfirmedDeaths.missing|Allegan_Michigan_UnitedStates.JHU_ConfirmedRecoveries.data|Allegan_Michigan_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|179.0|0|2.0|0|0.0|0
0|2020-05-18|186.0|0|2.0|0|0.0|0
0|2020-05-19|184.0|0|3.0|0|0.0|0
0|2020-05-20|191.0|0|5.0|0|0.0|0
0|2020-05-21|195.0|0|5.0|0|0.0|0
0|2020-05-22|197.0|0|6.0|0|0.0|0
0|2020-05-23|197.0|0|6.0|0|0.0|0
