|dates|Pike_Missouri_UnitedStates.JHU_ConfirmedCases.data|Pike_Missouri_UnitedStates.JHU_ConfirmedCases.missing|Pike_Missouri_UnitedStates.JHU_ConfirmedDeaths.data|Pike_Missouri_UnitedStates.JHU_ConfirmedDeaths.missing|Pike_Missouri_UnitedStates.JHU_ConfirmedRecoveries.data|Pike_Missouri_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-14|14.0|0|1.0|0|0.0|0
0|2020-05-15|14.0|0|1.0|0|0.0|0
0|2020-05-16|14.0|0|1.0|0|0.0|0
