|dates|Henry_Georgia_UnitedStates.JHU_ConfirmedCases.data|Henry_Georgia_UnitedStates.JHU_ConfirmedCases.missing|Henry_Georgia_UnitedStates.JHU_ConfirmedDeaths.data|Henry_Georgia_UnitedStates.JHU_ConfirmedDeaths.missing|Henry_Georgia_UnitedStates.JHU_ConfirmedRecoveries.data|Henry_Georgia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|630.0|0|18.0|0|0.0|0
0|2020-05-18|627.0|0|18.0|0|0.0|0
0|2020-05-19|611.0|0|19.0|0|0.0|0
0|2020-05-20|615.0|0|20.0|0|0.0|0
0|2020-05-21|623.0|0|20.0|0|0.0|0
0|2020-05-22|627.0|0|20.0|0|0.0|0
0|2020-05-23|627.0|0|20.0|0|0.0|0
