|dates|Fayette_Tennessee_UnitedStates.JHU_ConfirmedCases.data|Fayette_Tennessee_UnitedStates.JHU_ConfirmedCases.missing|Fayette_Tennessee_UnitedStates.JHU_ConfirmedDeaths.data|Fayette_Tennessee_UnitedStates.JHU_ConfirmedDeaths.missing|Fayette_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.data|Fayette_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-14|86.0|0|2.0|0|0.0|0
0|2020-05-15|88.0|0|2.0|0|0.0|0
0|2020-05-16|88.0|0|2.0|0|0.0|0
