|dates|Terrell_Georgia_UnitedStates.JHU_ConfirmedCases.data|Terrell_Georgia_UnitedStates.JHU_ConfirmedCases.missing|Terrell_Georgia_UnitedStates.JHU_ConfirmedDeaths.data|Terrell_Georgia_UnitedStates.JHU_ConfirmedDeaths.missing|Terrell_Georgia_UnitedStates.JHU_ConfirmedRecoveries.data|Terrell_Georgia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|199.0|0|24.0|0|0.0|0
0|2020-05-18|199.0|0|24.0|0|0.0|0
0|2020-05-19|199.0|0|24.0|0|0.0|0
0|2020-05-20|203.0|0|24.0|0|0.0|0
0|2020-05-21|204.0|0|25.0|0|0.0|0
0|2020-05-22|209.0|0|26.0|0|0.0|0
0|2020-05-23|209.0|0|26.0|0|0.0|0
