|dates|Wayne_Indiana_UnitedStates.JHU_ConfirmedCases.data|Wayne_Indiana_UnitedStates.JHU_ConfirmedCases.missing|Wayne_Indiana_UnitedStates.JHU_ConfirmedDeaths.data|Wayne_Indiana_UnitedStates.JHU_ConfirmedDeaths.missing|Wayne_Indiana_UnitedStates.JHU_ConfirmedRecoveries.data|Wayne_Indiana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-14|58.0|0|5.0|0|0.0|0
0|2020-05-15|60.0|0|5.0|0|0.0|0
0|2020-05-16|60.0|0|5.0|0|0.0|0
