|dates|Floyd_Indiana_UnitedStates.JHU_ConfirmedCases.data|Floyd_Indiana_UnitedStates.JHU_ConfirmedCases.missing|Floyd_Indiana_UnitedStates.JHU_ConfirmedDeaths.data|Floyd_Indiana_UnitedStates.JHU_ConfirmedDeaths.missing|Floyd_Indiana_UnitedStates.JHU_ConfirmedRecoveries.data|Floyd_Indiana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-27|315.0|0|39.0|0|0.0|0
0|2020-05-28|315.0|0|39.0|0|0.0|0
0|2020-05-29|315.0|0|39.0|0|0.0|0
0|2020-05-30|315.0|0|39.0|0|0.0|0
