|dates|Nassau_NewYork_UnitedStates.JHU_ConfirmedCases.data|Nassau_NewYork_UnitedStates.JHU_ConfirmedCases.missing|Nassau_NewYork_UnitedStates.JHU_ConfirmedDeaths.data|Nassau_NewYork_UnitedStates.JHU_ConfirmedDeaths.missing|Nassau_NewYork_UnitedStates.JHU_ConfirmedRecoveries.data|Nassau_NewYork_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-04-05|14398.0|0|162.0|0|0.0|0
0|2020-04-06|15616.0|0|162.0|0|0.0|0
0|2020-04-07|16610.0|0|500.0|0|0.0|0
0|2020-04-08|18548.0|0|500.0|0|0.0|0
0|2020-04-09|20140.0|0|633.0|0|0.0|0
0|2020-04-10|21512.0|0|723.0|0|0.0|0
0|2020-04-11|22584.0|0|792.0|0|0.0|0
0|2020-04-12|23553.0|0|846.0|0|0.0|0
0|2020-04-13|24358.0|0|910.0|0|0.0|0
0|2020-04-14|25250.0|0|1001.0|0|0.0|0
0|2020-04-15|26715.0|0|1057.0|0|0.0|0
0|2020-04-16|27772.0|0|1109.0|0|0.0|0
0|2020-04-17|28539.0|0|1109.0|0|0.0|0
0|2020-04-18|29180.0|0|1109.0|0|0.0|0
0|2020-04-19|30013.0|0|1109.0|0|0.0|0
0|2020-04-20|30677.0|0|1329.0|0|0.0|0
0|2020-04-21|31079.0|0|1390.0|0|0.0|0
0|2020-04-22|31555.0|0|1431.0|0|0.0|0
0|2020-04-23|32124.0|0|1471.0|0|0.0|0
0|2020-04-24|32765.0|0|1518.0|0|0.0|0
0|2020-04-25|33798.0|0|1558.0|0|0.0|0
0|2020-04-26|34522.0|0|1587.0|0|0.0|0
0|2020-04-27|34865.0|0|1620.0|0|0.0|0
0|2020-04-28|35085.0|0|1647.0|0|0.0|0
0|2020-04-29|35505.0|0|1678.0|0|0.0|0
0|2020-04-30|35854.0|0|1700.0|0|0.0|0
0|2020-05-01|36161.0|0|1720.0|0|0.0|0
0|2020-05-02|36519.0|0|1745.0|0|0.0|0
0|2020-05-03|36780.0|0|1770.0|0|0.0|0
0|2020-05-04|36965.0|0|1792.0|0|0.0|0
0|2020-05-05|37152.0|0|1818.0|0|0.0|0
0|2020-05-06|37350.0|0|1891.0|0|0.0|0
0|2020-05-07|37593.0|0|1904.0|0|0.0|0
0|2020-05-08|37812.0|0|1918.0|0|0.0|0
0|2020-05-09|38028.0|0|1940.0|0|0.0|0
0|2020-05-10|38217.0|0|1963.0|0|0.0|0
0|2020-05-11|38217.0|0|1963.0|0|0.0|0
0|2020-05-12|38434.0|0|1991.0|0|0.0|0
0|2020-05-13|38587.0|0|2004.0|0|0.0|0
