|dates|LaSalle_Texas_UnitedStates.JHU_ConfirmedCases.data|LaSalle_Texas_UnitedStates.JHU_ConfirmedCases.missing|LaSalle_Texas_UnitedStates.JHU_ConfirmedDeaths.data|LaSalle_Texas_UnitedStates.JHU_ConfirmedDeaths.missing|LaSalle_Texas_UnitedStates.JHU_ConfirmedRecoveries.data|LaSalle_Texas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-27|4.0|0|0.0|0|0.0|0
0|2020-05-28|4.0|0|0.0|0|0.0|0
0|2020-05-29|4.0|0|0.0|0|0.0|0
0|2020-05-30|4.0|0|0.0|0|0.0|0
