|dates|Hancock_Georgia_UnitedStates.JHU_ConfirmedCases.data|Hancock_Georgia_UnitedStates.JHU_ConfirmedCases.missing|Hancock_Georgia_UnitedStates.JHU_ConfirmedDeaths.data|Hancock_Georgia_UnitedStates.JHU_ConfirmedDeaths.missing|Hancock_Georgia_UnitedStates.JHU_ConfirmedRecoveries.data|Hancock_Georgia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-27|192.0|0|22.0|0|0.0|0
0|2020-05-28|192.0|0|22.0|0|0.0|0
0|2020-05-29|192.0|0|22.0|0|0.0|0
0|2020-05-30|192.0|0|22.0|0|0.0|0
