|dates|Florence_Wisconsin_UnitedStates.JHU_ConfirmedCases.data|Florence_Wisconsin_UnitedStates.JHU_ConfirmedCases.missing|Florence_Wisconsin_UnitedStates.JHU_ConfirmedDeaths.data|Florence_Wisconsin_UnitedStates.JHU_ConfirmedDeaths.missing|Florence_Wisconsin_UnitedStates.JHU_ConfirmedRecoveries.data|Florence_Wisconsin_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-24|2.0|0|0.0|0|0.0|0
0|2020-05-25|2.0|0|0.0|0|0.0|0
0|2020-05-26|2.0|0|0.0|0|0.0|0
