|dates|Flagler_Florida_UnitedStates.JHU_ConfirmedCases.data|Flagler_Florida_UnitedStates.JHU_ConfirmedCases.missing|Flagler_Florida_UnitedStates.JHU_ConfirmedDeaths.data|Flagler_Florida_UnitedStates.JHU_ConfirmedDeaths.missing|Flagler_Florida_UnitedStates.JHU_ConfirmedRecoveries.data|Flagler_Florida_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|156.0|0|4.0|0|0.0|0
0|2020-05-18|160.0|0|4.0|0|0.0|0
0|2020-05-19|167.0|0|4.0|0|0.0|0
0|2020-05-20|169.0|0|4.0|0|0.0|0
0|2020-05-21|172.0|0|4.0|0|0.0|0
0|2020-05-22|173.0|0|4.0|0|0.0|0
0|2020-05-23|173.0|0|4.0|0|0.0|0
