|dates|Osage_Oklahoma_UnitedStates.JHU_ConfirmedCases.data|Osage_Oklahoma_UnitedStates.JHU_ConfirmedCases.missing|Osage_Oklahoma_UnitedStates.JHU_ConfirmedDeaths.data|Osage_Oklahoma_UnitedStates.JHU_ConfirmedDeaths.missing|Osage_Oklahoma_UnitedStates.JHU_ConfirmedRecoveries.data|Osage_Oklahoma_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-27|93.0|0|8.0|0|0.0|0
0|2020-05-28|93.0|0|8.0|0|0.0|0
0|2020-05-29|93.0|0|8.0|0|0.0|0
0|2020-05-30|93.0|0|8.0|0|0.0|0
