|dates|Merced_California_UnitedStates.JHU_ConfirmedCases.data|Merced_California_UnitedStates.JHU_ConfirmedCases.missing|Merced_California_UnitedStates.JHU_ConfirmedDeaths.data|Merced_California_UnitedStates.JHU_ConfirmedDeaths.missing|Merced_California_UnitedStates.JHU_ConfirmedRecoveries.data|Merced_California_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-27|273.0|0|7.0|0|0.0|0
0|2020-05-28|273.0|0|7.0|0|0.0|0
0|2020-05-29|273.0|0|7.0|0|0.0|0
0|2020-05-30|273.0|0|7.0|0|0.0|0
