|dates|Saline_Kansas_UnitedStates.JHU_ConfirmedCases.data|Saline_Kansas_UnitedStates.JHU_ConfirmedCases.missing|Saline_Kansas_UnitedStates.JHU_ConfirmedDeaths.data|Saline_Kansas_UnitedStates.JHU_ConfirmedDeaths.missing|Saline_Kansas_UnitedStates.JHU_ConfirmedRecoveries.data|Saline_Kansas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|24.0|0|2.0|0|0.0|0
0|2020-05-18|24.0|0|2.0|0|0.0|0
0|2020-05-19|24.0|0|2.0|0|0.0|0
0|2020-05-20|24.0|0|2.0|0|0.0|0
0|2020-05-21|24.0|0|2.0|0|0.0|0
0|2020-05-22|24.0|0|2.0|0|0.0|0
0|2020-05-23|24.0|0|2.0|0|0.0|0
