|dates|Toole_Montana_UnitedStates.JHU_ConfirmedCases.data|Toole_Montana_UnitedStates.JHU_ConfirmedCases.missing|Toole_Montana_UnitedStates.JHU_ConfirmedDeaths.data|Toole_Montana_UnitedStates.JHU_ConfirmedDeaths.missing|Toole_Montana_UnitedStates.JHU_ConfirmedRecoveries.data|Toole_Montana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-24|29.0|0|6.0|0|0.0|0
0|2020-05-25|29.0|0|6.0|0|0.0|0
0|2020-05-26|29.0|0|6.0|0|0.0|0
