|dates|Scott_Illinois_UnitedStates.JHU_ConfirmedCases.data|Scott_Illinois_UnitedStates.JHU_ConfirmedCases.missing|Scott_Illinois_UnitedStates.JHU_ConfirmedDeaths.data|Scott_Illinois_UnitedStates.JHU_ConfirmedDeaths.missing|Scott_Illinois_UnitedStates.JHU_ConfirmedRecoveries.data|Scott_Illinois_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-27|65889.0|0|2834.0|0|0.0|0
0|2020-05-28|65889.0|0|2834.0|0|0.0|0
0|2020-05-29|65889.0|0|2834.0|0|0.0|0
0|2020-05-30|65889.0|0|2834.0|0|0.0|0
