|dates|Plymouth_Iowa_UnitedStates.JHU_ConfirmedCases.data|Plymouth_Iowa_UnitedStates.JHU_ConfirmedCases.missing|Plymouth_Iowa_UnitedStates.JHU_ConfirmedDeaths.data|Plymouth_Iowa_UnitedStates.JHU_ConfirmedDeaths.missing|Plymouth_Iowa_UnitedStates.JHU_ConfirmedRecoveries.data|Plymouth_Iowa_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|83.0|0|0.0|0|0.0|0
0|2020-05-18|86.0|0|0.0|0|0.0|0
0|2020-05-19|89.0|0|0.0|0|0.0|0
0|2020-05-20|89.0|0|0.0|0|0.0|0
0|2020-05-21|98.0|0|0.0|0|0.0|0
0|2020-05-22|101.0|0|0.0|0|0.0|0
0|2020-05-23|101.0|0|0.0|0|0.0|0
