|dates|Webster_Mississippi_UnitedStates.JHU_ConfirmedCases.data|Webster_Mississippi_UnitedStates.JHU_ConfirmedCases.missing|Webster_Mississippi_UnitedStates.JHU_ConfirmedDeaths.data|Webster_Mississippi_UnitedStates.JHU_ConfirmedDeaths.missing|Webster_Mississippi_UnitedStates.JHU_ConfirmedRecoveries.data|Webster_Mississippi_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|23.0|0|1.0|0|0.0|0
0|2020-05-18|22.0|0|1.0|0|0.0|0
0|2020-05-19|22.0|0|1.0|0|0.0|0
0|2020-05-20|22.0|0|1.0|0|0.0|0
0|2020-05-21|25.0|0|1.0|0|0.0|0
0|2020-05-22|27.0|0|1.0|0|0.0|0
0|2020-05-23|27.0|0|1.0|0|0.0|0
