|dates|Lewis_Tennessee_UnitedStates.JHU_ConfirmedCases.data|Lewis_Tennessee_UnitedStates.JHU_ConfirmedCases.missing|Lewis_Tennessee_UnitedStates.JHU_ConfirmedDeaths.data|Lewis_Tennessee_UnitedStates.JHU_ConfirmedDeaths.missing|Lewis_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.data|Lewis_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-14|2.0|0|0.0|0|0.0|0
0|2020-05-15|2.0|0|0.0|0|0.0|0
0|2020-05-16|2.0|0|0.0|0|0.0|0
