|dates|Cass_NorthDakota_UnitedStates.JHU_ConfirmedCases.data|Cass_NorthDakota_UnitedStates.JHU_ConfirmedCases.missing|Cass_NorthDakota_UnitedStates.JHU_ConfirmedDeaths.data|Cass_NorthDakota_UnitedStates.JHU_ConfirmedDeaths.missing|Cass_NorthDakota_UnitedStates.JHU_ConfirmedRecoveries.data|Cass_NorthDakota_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-24|1528.0|0|36.0|0|0.0|0
0|2020-05-25|1564.0|0|37.0|0|0.0|0
0|2020-05-26|1564.0|0|37.0|0|0.0|0
