|dates|Nelson_Kentucky_UnitedStates.JHU_ConfirmedCases.data|Nelson_Kentucky_UnitedStates.JHU_ConfirmedCases.missing|Nelson_Kentucky_UnitedStates.JHU_ConfirmedDeaths.data|Nelson_Kentucky_UnitedStates.JHU_ConfirmedDeaths.missing|Nelson_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.data|Nelson_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-24|35.0|0|0.0|0|0.0|0
0|2020-05-25|35.0|0|0.0|0|0.0|0
0|2020-05-26|35.0|0|0.0|0|0.0|0
