|dates|Auglaize_Ohio_UnitedStates.JHU_ConfirmedCases.data|Auglaize_Ohio_UnitedStates.JHU_ConfirmedCases.missing|Auglaize_Ohio_UnitedStates.JHU_ConfirmedDeaths.data|Auglaize_Ohio_UnitedStates.JHU_ConfirmedDeaths.missing|Auglaize_Ohio_UnitedStates.JHU_ConfirmedRecoveries.data|Auglaize_Ohio_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|54.0|0|3.0|0|0.0|0
0|2020-05-18|55.0|0|3.0|0|0.0|0
0|2020-05-19|55.0|0|3.0|0|0.0|0
0|2020-05-20|57.0|0|3.0|0|0.0|0
0|2020-05-21|55.0|0|3.0|0|0.0|0
0|2020-05-22|56.0|0|3.0|0|0.0|0
0|2020-05-23|56.0|0|3.0|0|0.0|0
