|dates|Marshall_SouthDakota_UnitedStates.JHU_ConfirmedCases.data|Marshall_SouthDakota_UnitedStates.JHU_ConfirmedCases.missing|Marshall_SouthDakota_UnitedStates.JHU_ConfirmedDeaths.data|Marshall_SouthDakota_UnitedStates.JHU_ConfirmedDeaths.missing|Marshall_SouthDakota_UnitedStates.JHU_ConfirmedRecoveries.data|Marshall_SouthDakota_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|1.0|0|0.0|0|0.0|0
0|2020-05-18|1.0|0|0.0|0|0.0|0
0|2020-05-19|3.0|0|0.0|0|0.0|0
0|2020-05-20|3.0|0|0.0|0|0.0|0
0|2020-05-21|3.0|0|0.0|0|0.0|0
0|2020-05-22|4.0|0|0.0|0|0.0|0
0|2020-05-23|4.0|0|0.0|0|0.0|0
