|dates|Centre_Pennsylvania_UnitedStates.JHU_ConfirmedCases.data|Centre_Pennsylvania_UnitedStates.JHU_ConfirmedCases.missing|Centre_Pennsylvania_UnitedStates.JHU_ConfirmedDeaths.data|Centre_Pennsylvania_UnitedStates.JHU_ConfirmedDeaths.missing|Centre_Pennsylvania_UnitedStates.JHU_ConfirmedRecoveries.data|Centre_Pennsylvania_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|131.0|0|6.0|0|0.0|0
0|2020-05-18|133.0|0|5.0|0|0.0|0
0|2020-05-19|132.0|0|5.0|0|0.0|0
0|2020-05-20|133.0|0|5.0|0|0.0|0
0|2020-05-21|136.0|0|5.0|0|0.0|0
0|2020-05-22|138.0|0|5.0|0|0.0|0
0|2020-05-23|138.0|0|5.0|0|0.0|0
