|dates|Cedar_Iowa_UnitedStates.JHU_ConfirmedCases.data|Cedar_Iowa_UnitedStates.JHU_ConfirmedCases.missing|Cedar_Iowa_UnitedStates.JHU_ConfirmedDeaths.data|Cedar_Iowa_UnitedStates.JHU_ConfirmedDeaths.missing|Cedar_Iowa_UnitedStates.JHU_ConfirmedRecoveries.data|Cedar_Iowa_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|42.0|0|1.0|0|0.0|0
0|2020-05-18|42.0|0|1.0|0|0.0|0
0|2020-05-19|43.0|0|1.0|0|0.0|0
0|2020-05-20|41.0|0|1.0|0|0.0|0
0|2020-05-21|44.0|0|1.0|0|0.0|0
0|2020-05-22|44.0|0|1.0|0|0.0|0
0|2020-05-23|44.0|0|1.0|0|0.0|0
