|dates|Champaign_Ohio_UnitedStates.JHU_ConfirmedCases.data|Champaign_Ohio_UnitedStates.JHU_ConfirmedCases.missing|Champaign_Ohio_UnitedStates.JHU_ConfirmedDeaths.data|Champaign_Ohio_UnitedStates.JHU_ConfirmedDeaths.missing|Champaign_Ohio_UnitedStates.JHU_ConfirmedRecoveries.data|Champaign_Ohio_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|23.0|0|1.0|0|0.0|0
0|2020-05-18|23.0|0|1.0|0|0.0|0
0|2020-05-19|23.0|0|1.0|0|0.0|0
0|2020-05-20|25.0|0|1.0|0|0.0|0
0|2020-05-21|25.0|0|1.0|0|0.0|0
0|2020-05-22|26.0|0|1.0|0|0.0|0
0|2020-05-23|26.0|0|1.0|0|0.0|0
