|dates|DesMoines_Iowa_UnitedStates.JHU_ConfirmedCases.data|DesMoines_Iowa_UnitedStates.JHU_ConfirmedCases.missing|DesMoines_Iowa_UnitedStates.JHU_ConfirmedDeaths.data|DesMoines_Iowa_UnitedStates.JHU_ConfirmedDeaths.missing|DesMoines_Iowa_UnitedStates.JHU_ConfirmedRecoveries.data|DesMoines_Iowa_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|37.0|0|1.0|0|0.0|0
0|2020-05-18|39.0|0|1.0|0|0.0|0
0|2020-05-19|39.0|0|1.0|0|0.0|0
0|2020-05-20|43.0|0|1.0|0|0.0|0
0|2020-05-21|51.0|0|1.0|0|0.0|0
0|2020-05-22|52.0|0|1.0|0|0.0|0
0|2020-05-23|52.0|0|1.0|0|0.0|0
