|dates|NewKent_Virginia_UnitedStates.JHU_ConfirmedCases.data|NewKent_Virginia_UnitedStates.JHU_ConfirmedCases.missing|NewKent_Virginia_UnitedStates.JHU_ConfirmedDeaths.data|NewKent_Virginia_UnitedStates.JHU_ConfirmedDeaths.missing|NewKent_Virginia_UnitedStates.JHU_ConfirmedRecoveries.data|NewKent_Virginia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-14|28.0|0|2.0|0|0.0|0
0|2020-05-15|26.0|0|1.0|0|0.0|0
0|2020-05-16|26.0|0|1.0|0|0.0|0
