|dates|Nacogdoches_Texas_UnitedStates.JHU_ConfirmedCases.data|Nacogdoches_Texas_UnitedStates.JHU_ConfirmedCases.missing|Nacogdoches_Texas_UnitedStates.JHU_ConfirmedDeaths.data|Nacogdoches_Texas_UnitedStates.JHU_ConfirmedDeaths.missing|Nacogdoches_Texas_UnitedStates.JHU_ConfirmedRecoveries.data|Nacogdoches_Texas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|238.0|0|17.0|0|0.0|0
0|2020-05-18|239.0|0|17.0|0|0.0|0
0|2020-05-19|241.0|0|17.0|0|0.0|0
0|2020-05-20|243.0|0|17.0|0|0.0|0
0|2020-05-21|244.0|0|17.0|0|0.0|0
0|2020-05-22|244.0|0|17.0|0|0.0|0
0|2020-05-23|244.0|0|17.0|0|0.0|0
