|dates|RedRiver_Louisiana_UnitedStates.JHU_ConfirmedCases.data|RedRiver_Louisiana_UnitedStates.JHU_ConfirmedCases.missing|RedRiver_Louisiana_UnitedStates.JHU_ConfirmedDeaths.data|RedRiver_Louisiana_UnitedStates.JHU_ConfirmedDeaths.missing|RedRiver_Louisiana_UnitedStates.JHU_ConfirmedRecoveries.data|RedRiver_Louisiana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-14|38.0|0|6.0|0|0.0|0
0|2020-05-15|40.0|0|6.0|0|0.0|0
0|2020-05-16|40.0|0|6.0|0|0.0|0
