|dates|Columbiana_Ohio_UnitedStates.JHU_ConfirmedCases.data|Columbiana_Ohio_UnitedStates.JHU_ConfirmedCases.missing|Columbiana_Ohio_UnitedStates.JHU_ConfirmedDeaths.data|Columbiana_Ohio_UnitedStates.JHU_ConfirmedDeaths.missing|Columbiana_Ohio_UnitedStates.JHU_ConfirmedRecoveries.data|Columbiana_Ohio_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|420.0|0|43.0|0|0.0|0
0|2020-05-18|434.0|0|43.0|0|0.0|0
0|2020-05-19|453.0|0|45.0|0|0.0|0
0|2020-05-20|457.0|0|47.0|0|0.0|0
0|2020-05-21|467.0|0|50.0|0|0.0|0
0|2020-05-22|476.0|0|49.0|0|0.0|0
0|2020-05-23|476.0|0|49.0|0|0.0|0
