|dates|Jackson_Indiana_UnitedStates.JHU_ConfirmedCases.data|Jackson_Indiana_UnitedStates.JHU_ConfirmedCases.missing|Jackson_Indiana_UnitedStates.JHU_ConfirmedDeaths.data|Jackson_Indiana_UnitedStates.JHU_ConfirmedDeaths.missing|Jackson_Indiana_UnitedStates.JHU_ConfirmedRecoveries.data|Jackson_Indiana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-24|359.0|0|1.0|0|0.0|0
0|2020-05-25|361.0|0|1.0|0|0.0|0
0|2020-05-26|361.0|0|1.0|0|0.0|0
