|dates|Shelby_Ohio_UnitedStates.JHU_ConfirmedCases.data|Shelby_Ohio_UnitedStates.JHU_ConfirmedCases.missing|Shelby_Ohio_UnitedStates.JHU_ConfirmedDeaths.data|Shelby_Ohio_UnitedStates.JHU_ConfirmedDeaths.missing|Shelby_Ohio_UnitedStates.JHU_ConfirmedRecoveries.data|Shelby_Ohio_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|34.0|0|1.0|0|0.0|0
0|2020-05-18|34.0|0|1.0|0|0.0|0
0|2020-05-19|34.0|0|2.0|0|0.0|0
0|2020-05-20|35.0|0|2.0|0|0.0|0
0|2020-05-21|35.0|0|2.0|0|0.0|0
0|2020-05-22|36.0|0|2.0|0|0.0|0
0|2020-05-23|36.0|0|2.0|0|0.0|0
