|dates|Kankakee_Illinois_UnitedStates.JHU_ConfirmedCases.data|Kankakee_Illinois_UnitedStates.JHU_ConfirmedCases.missing|Kankakee_Illinois_UnitedStates.JHU_ConfirmedDeaths.data|Kankakee_Illinois_UnitedStates.JHU_ConfirmedDeaths.missing|Kankakee_Illinois_UnitedStates.JHU_ConfirmedRecoveries.data|Kankakee_Illinois_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-27|808.0|0|43.0|0|0.0|0
0|2020-05-28|808.0|0|43.0|0|0.0|0
0|2020-05-29|808.0|0|43.0|0|0.0|0
0|2020-05-30|808.0|0|43.0|0|0.0|0
