|dates|Delaware_Ohio_UnitedStates.JHU_ConfirmedCases.data|Delaware_Ohio_UnitedStates.JHU_ConfirmedCases.missing|Delaware_Ohio_UnitedStates.JHU_ConfirmedDeaths.data|Delaware_Ohio_UnitedStates.JHU_ConfirmedDeaths.missing|Delaware_Ohio_UnitedStates.JHU_ConfirmedRecoveries.data|Delaware_Ohio_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-27|302.0|0|13.0|0|0.0|0
0|2020-05-28|302.0|0|13.0|0|0.0|0
0|2020-05-29|302.0|0|13.0|0|0.0|0
0|2020-05-30|302.0|0|13.0|0|0.0|0
