|dates|Marshall_Indiana_UnitedStates.JHU_ConfirmedCases.data|Marshall_Indiana_UnitedStates.JHU_ConfirmedCases.missing|Marshall_Indiana_UnitedStates.JHU_ConfirmedDeaths.data|Marshall_Indiana_UnitedStates.JHU_ConfirmedDeaths.missing|Marshall_Indiana_UnitedStates.JHU_ConfirmedRecoveries.data|Marshall_Indiana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-24|64.0|0|1.0|0|0.0|0
0|2020-05-25|64.0|0|1.0|0|0.0|0
0|2020-05-26|64.0|0|1.0|0|0.0|0
