|dates|Union_NorthCarolina_UnitedStates.JHU_ConfirmedCases.data|Union_NorthCarolina_UnitedStates.JHU_ConfirmedCases.missing|Union_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|Union_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|Union_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|Union_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|352.0|0|17.0|0|0.0|0
0|2020-05-18|358.0|0|17.0|0|0.0|0
0|2020-05-19|358.0|0|17.0|0|0.0|0
0|2020-05-20|365.0|0|17.0|0|0.0|0
0|2020-05-21|371.0|0|17.0|0|0.0|0
0|2020-05-22|373.0|0|17.0|0|0.0|0
0|2020-05-23|373.0|0|17.0|0|0.0|0
