|dates|Polk_Florida_UnitedStates.JHU_ConfirmedCases.data|Polk_Florida_UnitedStates.JHU_ConfirmedCases.missing|Polk_Florida_UnitedStates.JHU_ConfirmedDeaths.data|Polk_Florida_UnitedStates.JHU_ConfirmedDeaths.missing|Polk_Florida_UnitedStates.JHU_ConfirmedRecoveries.data|Polk_Florida_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-14|698.0|0|37.0|0|0.0|0
0|2020-05-15|716.0|0|40.0|0|0.0|0
0|2020-05-16|716.0|0|40.0|0|0.0|0
