|dates|Sweetwater_Wyoming_UnitedStates.JHU_ConfirmedCases.data|Sweetwater_Wyoming_UnitedStates.JHU_ConfirmedCases.missing|Sweetwater_Wyoming_UnitedStates.JHU_ConfirmedDeaths.data|Sweetwater_Wyoming_UnitedStates.JHU_ConfirmedDeaths.missing|Sweetwater_Wyoming_UnitedStates.JHU_ConfirmedRecoveries.data|Sweetwater_Wyoming_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-17|23.0|0|0.0|0|0.0|0
0|2020-05-18|23.0|0|0.0|0|0.0|0
0|2020-05-19|24.0|0|0.0|0|0.0|0
0|2020-05-20|25.0|0|0.0|0|0.0|0
0|2020-05-21|25.0|0|0.0|0|0.0|0
0|2020-05-22|25.0|0|0.0|0|0.0|0
0|2020-05-23|25.0|0|0.0|0|0.0|0
