|dates|Clay_Minnesota_UnitedStates.JHU_ConfirmedCases.data|Clay_Minnesota_UnitedStates.JHU_ConfirmedCases.missing|Clay_Minnesota_UnitedStates.JHU_ConfirmedDeaths.data|Clay_Minnesota_UnitedStates.JHU_ConfirmedDeaths.missing|Clay_Minnesota_UnitedStates.JHU_ConfirmedRecoveries.data|Clay_Minnesota_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-27|406.0|0|25.0|0|0.0|0
0|2020-05-28|406.0|0|25.0|0|0.0|0
0|2020-05-29|406.0|0|25.0|0|0.0|0
0|2020-05-30|406.0|0|25.0|0|0.0|0
