|dates|Lawrence_Mississippi_UnitedStates.JHU_ConfirmedCases.data|Lawrence_Mississippi_UnitedStates.JHU_ConfirmedCases.missing|Lawrence_Mississippi_UnitedStates.JHU_ConfirmedDeaths.data|Lawrence_Mississippi_UnitedStates.JHU_ConfirmedDeaths.missing|Lawrence_Mississippi_UnitedStates.JHU_ConfirmedRecoveries.data|Lawrence_Mississippi_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-14|74.0|0|0.0|0|0.0|0
0|2020-05-15|74.0|0|0.0|0|0.0|0
0|2020-05-16|74.0|0|0.0|0|0.0|0
