|dates|Robertson_Kentucky_UnitedStates.JHU_ConfirmedCases.data|Robertson_Kentucky_UnitedStates.JHU_ConfirmedCases.missing|Robertson_Kentucky_UnitedStates.JHU_ConfirmedDeaths.data|Robertson_Kentucky_UnitedStates.JHU_ConfirmedDeaths.missing|Robertson_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.data|Robertson_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-05-14|5822.0|0|275.0|0|0.0|0
0|2020-05-15|5822.0|0|275.0|0|0.0|0
0|2020-05-16|5822.0|0|275.0|0|0.0|0
